day,date,position,shares_L,shares_O,z_score,price_L,price_O
266,Y1-M01-D11,1,200,-1430,-0.21280578052312615,211.36,28.63
267,Y1-M01-D12,1,200,-1430,-0.13786449236399573,212.06,28.27
268,Y1-M01-D13,1,200,-1430,-0.1627460806977491,212.26,28.45
269,Y1-M01-D14,1,200,-1430,-0.16851576923545092,214.01,28.73
270,Y1-M01-D15,0,0,0,0.16946133537531902,220.41,27.56
271,Y1-M01-D18,0,0,0,0.15069450069920123,216.73,27.16
272,Y1-M01-D19,0,0,0,0.06445457500517343,219.04,28.01
273,Y1-M01-D20,0,0,0,-0.23339766041578736,214.25,29.16
274,Y1-M01-D21,0,0,0,-0.11002376261618642,218.21,28.96
275,Y1-M01-D22,0,0,0,-0.05059364456124352,222.88,29.25
276,Y1-M01-D25,0,0,0,-0.16030741569018778,225.38,30.27
277,Y1-M01-D26,0,0,0,0.06285151276745352,234.2,30.14
278,Y1-M01-D27,0,0,0,0.09038502323017382,238.12,30.52
279,Y1-M01-D28,0,0,0,0.2060893143850041,243.89,30.62
280,Y1-M01-D29,0,0,0,0.24425387588782704,249.49,31.17
281,Y1-M02-D01,0,0,0,0.2175411521728656,249.61,31.35
282,Y1-M02-D02,0,0,0,0.18897244635034474,252.08,31.87
283,Y1-M02-D03,0,0,0,-0.01276657381157445,249.63,32.76
284,Y1-M02-D04,0,0,0,0.13128937886098113,252.42,32.27
285,Y1-M02-D05,0,0,0,0.2045394000718983,249.9,31.47
286,Y1-M02-D08,0,0,0,0.15093475417202262,245.27,31.15
287,Y1-M02-D09,0,0,0,0.06924288153063933,242.13,31.21
288,Y1-M02-D10,0,0,0,-0.1117903885226132,237.51,31.67
289,Y1-M02-D11,0,0,0,-0.1584984913425765,238.83,32.14
290,Y1-M02-D12,0,0,0,-0.41585479423680827,229.66,32.43
291,Y1-M02-D15,0,0,0,-0.34965994110048176,233.41,32.55
292,Y1-M02-D16,0,0,0,-0.16703627520652745,238.6,32.16
293,Y1-M02-D17,0,0,0,-0.20086143481555882,230.83,31.28
294,Y1-M02-D18,0,0,0,-0.1859788538806827,225.76,30.48
